BV_PRINCIPAL,SURFACE_M2,SURFACE_HA,ALTI_MIN,ALTI_MAX,ALTI_MOYENNE,PENTE_MIN,PENTE_MAX,PENTE_MOYENNE,PENTE_ECOULEMENT,LONG_ECOULEMENT,SURFACE_IMPERMEABLE,SURF_IMPER_PC,SIGNIF_IMPER_MAX,SIGNIF_IMPER_MOY,SIGNIF_IMPER_NUL,OCCUP_SOL_01,OCCUP_SOL_02,OCCUP_SOL_03,OCCUP_SOL_04,OCCUP_SOL_05,OCCUP_SOL_06,OCCUP_SOL_07,OCCUP_SOL_08,OCCUP_SOL_09,OCCUP_SOL_10,OCCUP_SOL_11,OCCUP_SOL_12,OCCUP_SOL_13,OCCUP_SOL_14,OCCUP_SOL_15,OCCUP_SOL_16,OCCUP_SOL_17,SIGNIF_OCCUP_SOL,SHAPE.AREA,SHAPE.LEN,
Marquet-Gobé-Vengeron,22925999.0,2292.47588297,375.2176,484.82730000000004,425.19135361,0.00068347,17.12130487,3.50313066,2.64,221562.0465,3540550.0,15.44338373,70.0,15.0,15.0,4576250.0,1013125.0,353125.0,4375.0,4260000.0,0.0,1458125.0,1738125.0,0.0,0.0,24375.0,10000.0,625.0,6821250.0,2136875.0,530000.0,0.0,100.0,22925998.9280939,25546.15507245,
Avanchet,6986990.0,698.68398062,369.728,464.6642,425.71417778,0.02844477,27.29888095,4.31618843,2.3000000000000003,60464.0341,3218600.0,46.06561624,100.0,0.0,0.0,276875.0,90625.0,15625.0,0.0,545000.0,0.0,141875.0,98750.0,0.0,0.0,0.0,3125.0,2500.0,2721250.0,2490625.0,594375.0,0.0,100.0,6986990.50280777,14612.8529035307,
Avril,13716769.0,1371.66944488,370.358,505.5889,420.79562881,0.012581170000000001,160.547,6.9398155,4.23,146091.6505,2444575.0,17.821799,95.0,0.0,5.0,3238125.0,2858125.0,320625.0,0.0,1036250.0,0.0,268125.0,1024375.0,0.0,33125.0,0.0,1875.0,0.0,2474375.0,1916875.0,553125.0,0.0,100.0,13716768.9018612,19743.581865168002,
Couchefatte,3531203.0,353.11585034,336.6093,437.504,403.85544444,0.06529415,22.32591098,6.21632467,3.94,38080.22968069,241675.0,6.8439849,100.0,0.0,0.0,1591875.0,288125.0,56250.0,0.0,641250.0,0.0,144375.0,57500.0,0.0,28750.0,0.0,2500.0,6250.0,505625.0,54375.0,148125.0,0.0,100.0,3531203.35282654,9061.19494756055,
Goy,5335271.0,533.51865241,380.1608,492.6845,418.28477895,0.04034248,20.54853438,4.76679848,3.15,46470.472200000004,295400.0,5.53673843,100.0,0.0,0.0,2368750.0,438750.0,270000.0,20000.0,517500.0,0.0,155625.0,485000.0,0.0,25000.0,0.0,625.0,0.0,774375.0,108750.0,180625.0,0.0,100.0,5335270.56356633,12067.8256156233,
Hermance,42323038.0,4232.23762196,372.6419,719.0067,457.65084133,0.00068347,30.91704991,3.48390151,3.12,412935.5529,376350.0,0.8892320100000001,20.0,5.0,75.0,10471250.0,1568125.0,76875.0,1875.0,4643750.0,0.0,3815625.0,12432500.0,0.0,0.0,418750.0,16250.0,0.0,7480625.0,479375.0,183750.0,0.0,100.0,42323037.4812219,35625.489500225405,
Drize,22371659.0,2237.14949453,390.9839,1324.007,531.4647,0.03241068,359.47629645,10.90045127,22.79,260884.5332,1609325.0,7.1935881,35.0,10.0,55.0,2613750.0,444375.0,335625.0,211875.0,1190000.0,1505625.0,1113125.0,5403125.0,218750.0,0.0,0.0,8125.0,0.0,6910625.0,1026875.0,300000.0,790000.0,100.0,22371659.3685766,23447.315618932702,
Laire,49160961.0,4916.33992438,337.2327,850.991,494.20119478,0.00068347,42.29423823,7.59138491,6.84,556108.5639,843550.0,1.71589404,15.0,5.0,80.0,7924375.0,1942500.0,263125.0,5000.0,5150000.0,0.0,2185000.0,4773750.0,0.0,333125.0,0.0,10625.0,0.0,4497500.0,782500.0,286875.0,0.0,55.0,49160961.1341554,31931.5237994454,
Seymaz,36633586.0,3663.26618166,391.84250000000003,519.2219,448.16932188,0.01853003,20.78010304,2.56285902,2.23,376993.3857,3305675.0,9.02361838,100.0,0.0,0.0,12987500.0,2533125.0,715625.0,44375.0,3434375.0,0.0,1625000.0,3700000.0,0.0,0.0,30625.0,43125.0,2500.0,8566250.0,1525625.0,1423125.0,0.0,100.0,36633586.023526,35718.7413131859,
Versoix,87631008.0,8762.90006583,372.9801,1507.999,614.18889194,0.00068347,128.08111326,9.615518699999999,13.1,926379.2901,750650.0,0.85660318,15.0,0.0,85.0,10610000.0,1893750.0,315000.0,1875.0,18353750.0,282500.0,5409375.0,19172500.0,51875.0,0.0,421250.0,277500.0,670625.0,12018750.0,1655000.0,419375.0,0.0,80.0,87631007.6401718,51871.0400399549,
Crêt,920713.0,92.07027287,337.5956,463.0036,409.55488,0.34794068,24.21883449,9.27242382,8.22,12907.06938268,500.0,0.05430574,0.0,0.0,100.0,334375.0,14375.0,0.0,0.0,212500.0,0.0,115625.0,181875.0,0.0,0.0,0.0,0.0,3125.0,59375.0,0.0,0.0,0.0,100.0,920712.9212771851,4178.275968329581,
Vosogne,6925610.0,692.59612381,332.8102,712.999,484.08727143,0.34794068,43.05836857,11.40226164,10.59,106108.08475202,525.0,0.00758056,0.0,0.0,100.0,57500.0,9375.0,0.0,0.0,279375.0,0.0,325625.0,1227500.0,0.0,0.0,0.0,0.0,625.0,135625.0,0.0,0.0,0.0,30.0,6925610.45594929,14271.969256608902,
Crues,4877219.0,487.70396657,348.99240000000003,545.0048,437.153175,0.10181396000000001,45.25027136,5.71976581,5.13,46230.2011,259825.0,5.3273187,80.0,15.0,5.0,1983750.0,800000.0,58750.0,0.0,558125.0,0.0,178750.0,233750.0,0.0,3750.0,0.0,4375.0,625.0,790000.0,112500.0,140625.0,0.0,100.0,4877218.754109,15801.3194601814,
Rhône,48179416.0,4817.85606616,332.8102,515.995,399.75769365,0.0006367300000000001,64.30211004,7.71382709,5.6000000000000005,481549.33325892,9695125.0,20.12296081,90.0,5.0,5.0,7926875.0,3815625.0,820625.0,10625.0,4489375.0,0.0,1960625.0,5091250.0,0.0,315625.0,77500.0,85625.0,3103750.0,10940625.0,7268125.0,2234375.0,0.0,100.0,48179416.3843837,70860.92390059649,
Rhône-Léman rive droite,44951105.0,4494.9401,371.00280000000004,557.9872,425.224002,0.00068347,257.209,4.156067,4.18,394708.2376,4205725.0,9.35622161,40.0,10.0,50.0,10040625.0,2000625.0,145000.0,0.0,6601250.0,0.0,3370625.0,3141875.0,0.0,0.0,13125.0,58750.0,15625.0,14786250.0,3142500.0,921250.0,0.0,100.0,44951104.5432019,60103.205495907,
Rhône-Léman rive gauche,19382379.0,1938.2193000000002,372.01750000000004,493.93330000000003,414.92,0.020513,34.857295,5.76261,5.672067999999999,190432.6959,48508000.0,250.26855578,100.0,0.0,0.0,2407500.0,1239375.0,404375.0,0.0,969375.0,0.0,890000.0,235625.0,0.0,0.0,0.0,230625.0,625.0,9063750.0,2605625.0,1346250.0,0.0,100.0,19382379.2756242,39338.6218888242,
Aire,72137853.0,7213.85058166,378.05350000000004,1381.999,536.51679095,0.00068347,171.79602959,8.30719959,12.030000000000001,827951.277,7501192.59183,10.39841398,100.0,0.0,0.0,11040000.0,3313125.0,736875.0,340000.0,7086875.0,625.0,3707500.0,2395000.0,0.0,133750.0,0.0,15000.0,1875.0,12536250.0,4090625.0,1285625.0,0.0,65.0,72137852.5915311,44580.0655817327,
Allondon,145015964.0,14501.06552351,348.57620000000003,1705.0,659.97429493,0.00068347,154.97206883,16.57432356,20.400000000000002,1734490.0994,790950.0,0.54542271,10.0,0.0,90.0,16032500.0,5691250.0,333750.0,0.0,31243125.0,9290625.0,10973750.0,43270625.0,4856250.0,0.0,140000.0,25625.0,571875.0,15375000.0,2720000.0,293750.0,91875.0,95.0,145015964.305484,62704.487631745804,
Arve,13510382.0,1351.04776202,370.14430000000004,461.62010000000004,400.968375,0.020512970000000002,45.39607858,5.74282857,3.43,116445.616,5113825.0,37.85107631,100.0,0.0,0.0,1221250.0,176875.0,76875.0,15000.0,684375.0,0.0,413125.0,546875.0,0.0,0.0,0.0,9375.0,615625.0,4395000.0,4388125.0,978125.0,0.0,100.0,13510382.3832634,24355.6215044534,
Foron,40315296.0,4031.52558847,390.0733,1480.9930000000002,569.11761935,0.00068347,123.77439817,10.78862668,17.14,469647.6449,2577000.0,6.39211479,15.0,10.0,75.0,1985000.0,743125.0,59375.0,24375.0,3080000.0,0.0,2168125.0,4988750.0,0.0,0.0,25000.0,78125.0,5625.0,9223125.0,3001250.0,213750.0,0.0,65.0,40315296.3524803,48375.1830532496,
Longet,4330378.0,433.07406668,332.85900000000004,664.9981,430.6193,0.34794068,41.397489,11.40626191,6.49,64191.17988366,3850.0,0.08890679,10.0,0.0,90.0,327500.0,183125.0,0.0,0.0,865000.0,0.0,228750.0,1004375.0,0.0,0.0,0.0,0.0,2500.0,797500.0,140000.0,5000.0,0.0,80.0,4330377.89905721,13507.958160755801,
Charmilles,3388619.0,338.8522009,349.22720000000004,512.5085,436.53853,0.0006367300000000001,36.79272552,9.5217259,7.49,47687.41794593,95700.0,2.82415934,65.0,0.0,35.0,512500.0,1525000.0,7500.0,0.0,541875.0,0.0,233125.0,143125.0,0.0,0.0,0.0,0.0,0.0,312500.0,38125.0,81875.0,0.0,100.0,3388619.2668337,7613.22227275965,
